# == pyFAI calibration ==
# Distance Sample to Detector: 0.158963311583 m
# PONI: 1.062e-01, 8.212e-02 m
# Rotations: -0.004467 -0.004617 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 158.967 mm
# Center: x=481.577, y=613.006 pix
# Tilt: 0.368 deg  TiltPlanRot: -45.941 deg
# 
# Detector Pilatus CdTe 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 7.10511159865e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /home/diffmin/imagedata/221007_group1/unknown/unknown_0006.dat
#       2th_deg             I 
  3.372913e+01    5.441973e+00
  3.380927e+01    6.621340e+00
  3.388941e+01    1.044011e+01
  3.396954e+01    1.334799e+01
  3.404968e+01    1.176279e+01
  3.412982e+01    1.056672e+01
  3.420996e+01    8.627356e+00
  3.429010e+01    6.405906e+00
  3.437024e+01    4.771230e+00
  3.445037e+01    4.157238e+00
  3.453051e+01    3.603433e+00
  3.461065e+01    3.321724e+00
  3.469079e+01    3.420068e+00
  3.477093e+01    3.202217e+00
  3.485106e+01    3.270237e+00
  3.493120e+01    3.158026e+00
  3.501134e+01    3.303689e+00
  3.509148e+01    3.176982e+00
  3.517162e+01    3.174733e+00
  3.525176e+01    3.328881e+00
  3.533189e+01    3.731800e+00
  3.541203e+01    4.649532e+00
  3.549217e+01    5.530931e+00
  3.557231e+01    5.484030e+00
  3.565245e+01    4.847750e+00
  3.573259e+01    4.406971e+00
  3.581272e+01    3.884499e+00
  3.589286e+01    3.235204e+00
  3.597300e+01    3.141817e+00
  3.605314e+01    2.737945e+00
  3.613328e+01    3.012767e+00
  3.621341e+01    2.737903e+00
  3.629355e+01    2.711617e+00
  3.637369e+01    2.840697e+00
  3.645383e+01    2.596295e+00
  3.653397e+01    2.648184e+00
  3.661411e+01    2.691040e+00
  3.669424e+01    2.474781e+00
  3.677438e+01    2.711586e+00
  3.685452e+01    2.907888e+00
  3.693466e+01    2.591530e+00
  3.701480e+01    2.340234e+00
  3.709494e+01    2.469486e+00
  3.717507e+01    2.422787e+00
  3.725521e+01    2.476596e+00
  3.733535e+01    2.534784e+00
  3.741549e+01    2.355124e+00
  3.749563e+01    2.451423e+00
  3.757576e+01    2.342476e+00
  3.765590e+01    2.080691e+00
  3.773604e+01    2.434818e+00
  3.781618e+01    2.265686e+00
  3.789632e+01    2.449613e+00
  3.797646e+01    2.515316e+00
  3.805659e+01    2.723837e+00
  3.813673e+01    2.377191e+00
  3.821687e+01    2.768238e+00
  3.829701e+01    2.636324e+00
  3.837715e+01    2.532508e+00
  3.845728e+01    2.250453e+00
  3.853742e+01    2.390332e+00
  3.861756e+01    2.363022e+00
  3.869770e+01    2.035914e+00
  3.877784e+01    2.461907e+00
  3.885798e+01    2.314794e+00
  3.893811e+01    2.304737e+00
  3.901825e+01    2.341698e+00
  3.909839e+01    2.110672e+00
  3.917853e+01    2.224849e+00
  3.925867e+01    2.408171e+00
  3.933881e+01    2.479791e+00
  3.941894e+01    2.246859e+00
  3.949908e+01    2.209359e+00
  3.957922e+01    2.543255e+00
  3.965936e+01    2.045392e+00
  3.973950e+01    2.298252e+00
  3.981963e+01    2.722140e+00
  3.989977e+01    2.536461e+00
  3.997991e+01    2.227059e+00
  4.006005e+01    7.446293e-01
