# == pyFAI calibration ==
# Distance Sample to Detector: 0.158963311583 m
# PONI: 1.062e-01, 8.212e-02 m
# Rotations: -0.004467 -0.004617 0.000000 rad
#
# == Fit2d calibration ==
# Distance Sample-beamCenter: 158.967 mm
# Center: x=481.577, y=613.006 pix
# Tilt: 0.368 deg  TiltPlanRot: -45.941 deg
#
# Detector Pilatus CdTe 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True
#    Detector has a dark current: False
#    detector has a flat field: False
#
# Wavelength: 7.10511159865e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /home/diffmin/imagedata/221007_group1/unknown/unknown_0004.dat
#       2th_deg             I
  3.252706e+01    3.495566e+00
  3.260719e+01    3.453621e+00
  3.268733e+01    3.437689e+00
  3.276747e+01    3.470951e+00
  3.284761e+01    3.481020e+00
  3.292775e+01    3.526139e+00
  3.300789e+01    3.484702e+00
  3.308802e+01    3.417283e+00
  3.316816e+01    3.324708e+00
  3.324830e+01    3.419088e+00
  3.332844e+01    3.362099e+00
  3.340858e+01    3.457084e+00
  3.348872e+01    3.253582e+00
  3.356885e+01    3.438549e+00
  3.364899e+01    3.572333e+00
  3.372913e+01    3.448130e+00
  3.380927e+01    3.403590e+00
  3.388941e+01    3.440457e+00
  3.396954e+01    3.468273e+00
  3.404968e+01    3.203155e+00
  3.412982e+01    3.436485e+00
  3.420996e+01    3.339641e+00
  3.429010e+01    3.227033e+00
  3.437024e+01    3.436143e+00
  3.445037e+01    3.347177e+00
  3.453051e+01    3.091364e+00
  3.461065e+01    3.162069e+00
  3.469079e+01    3.152313e+00
  3.477093e+01    3.246194e+00
  3.485106e+01    3.216917e+00
  3.493120e+01    3.140965e+00
  3.501134e+01    3.341292e+00
  3.509148e+01    3.230606e+00
  3.517162e+01    3.459023e+00
  3.525176e+01    3.378402e+00
  3.533189e+01    3.923620e+00
  3.541203e+01    4.635763e+00
  3.549217e+01    5.454581e+00
  3.557231e+01    5.477500e+00
  3.565245e+01    5.863768e+00
  3.573259e+01    4.829502e+00
  3.581272e+01    4.038034e+00
  3.589286e+01    3.811980e+00
  3.597300e+01    3.325766e+00
  3.605314e+01    3.206429e+00
  3.613328e+01    3.101862e+00
  3.621341e+01    2.964109e+00
  3.629355e+01    2.975969e+00
  3.637369e+01    2.972727e+00
  3.645383e+01    3.123076e+00
  3.653397e+01    2.932449e+00
  3.661411e+01    2.991189e+00
  3.669424e+01    2.843679e+00
  3.677438e+01    2.913934e+00
  3.685452e+01    2.745753e+00
  3.693466e+01    2.998811e+00
  3.701480e+01    2.867741e+00
  3.709494e+01    2.930777e+00
  3.717507e+01    2.846910e+00
  3.725521e+01    2.743516e+00
  3.733535e+01    2.867503e+00
  3.741549e+01    2.560286e+00
  3.749563e+01    2.870327e+00
  3.757576e+01    2.553029e+00
  3.765590e+01    2.699852e+00
  3.773604e+01    3.152581e+00
  3.781618e+01    2.767017e+00
  3.789632e+01    2.889176e+00
  3.797646e+01    2.952752e+00
  3.805659e+01    2.789861e+00
  3.813673e+01    2.869045e+00
  3.821687e+01    2.722275e+00
  3.829701e+01    2.663672e+00
  3.837715e+01    2.757850e+00
  3.845728e+01    2.485077e+00
  3.853742e+01    2.774213e+00
  3.861756e+01    2.271699e+00
  3.869770e+01    2.690307e+00
  3.877784e+01    2.846779e+00
  3.885798e+01    2.971413e+00
  3.893811e+01    2.538494e+00
  3.901825e+01    2.608824e+00
  3.909839e+01    2.546649e+00
  3.917853e+01    2.500966e+00
  3.925867e+01    2.553475e+00
  3.933881e+01    2.345072e+00
  3.941894e+01    2.711163e+00
  3.949908e+01    2.880271e+00
  3.957922e+01    2.510827e+00
  3.965936e+01    3.105365e+00
  3.973950e+01    3.752189e+00
  3.981963e+01    2.267814e+00
  3.989977e+01    2.616512e+00
  3.997991e+01    2.350541e+00
  4.006005e+01    2.482181e+00
