Wavelength (nm);Intensity Source
760.508;4.639
760.834;4.687
761.160;4.834
761.486;4.639
761.812;4.565
762.138;4.614
762.464;4.810
762.790;4.565
763.116;4.346
763.442;4.541
763.767;4.663
764.093;4.639
764.419;4.687
764.744;4.736
765.070;4.785
765.395;4.639
765.721;4.663
766.046;4.810
766.372;4.565
766.697;4.663
767.022;4.687
767.347;4.541
767.672;4.541
767.998;4.541
768.323;4.687
768.648;4.639
768.973;4.541
769.297;4.639
769.622;4.614
769.947;4.614
770.272;4.736
770.597;4.687
770.921;4.639
771.246;4.663
771.570;4.614
771.895;4.639
772.219;4.541
772.544;4.590
772.868;4.419
773.192;4.541
773.517;4.541
773.841;4.541
774.165;4.736
774.489;4.614
774.813;4.541
775.137;4.639
775.461;4.614
775.785;4.492
776.109;4.565
776.433;4.614
776.756;4.590
777.080;4.517
777.404;4.614
777.727;4.614
778.051;4.492
778.374;4.565
778.698;4.590
779.021;4.712
779.345;4.639
779.668;4.565
779.991;4.663
780.315;4.590
780.638;4.468
780.961;4.541
781.284;4.565
781.607;4.419
781.930;4.565
782.253;4.590
782.576;4.590
782.898;4.614
783.221;4.614
783.544;4.614
783.867;4.541
784.189;4.663
784.512;4.687
784.834;4.565
785.157;4.590
785.479;4.614
785.801;4.517
786.124;4.590
786.446;4.541
786.768;4.687
787.090;4.565
787.412;4.590
787.735;4.590
788.057;4.541
788.379;4.492
788.700;4.492
789.022;4.663
789.344;4.541
789.666;4.517
789.988;4.517
790.309;4.614
790.631;4.517
790.952;4.517
791.274;4.224
791.595;4.590
791.917;4.395
792.238;4.468
792.559;4.614
792.881;4.639
793.202;4.517
793.523;4.565
793.844;4.395
794.165;4.541
794.486;4.517
794.807;4.468
795.128;4.517
795.449;4.565
795.770;4.492
796.090;4.590
796.411;4.590
796.732;4.614
797.052;4.419
797.373;4.492
797.693;4.614
798.014;4.492
798.334;4.565
798.655;4.614
798.975;4.565
799.295;4.565
799.615;4.517
799.935;4.687
800.256;4.468
800.576;4.614
800.896;4.590
801.215;4.468
801.535;4.736
801.855;4.541
802.175;4.614
802.495;4.395
802.814;4.639
803.134;4.419
803.454;4.663
803.773;4.614
804.093;4.541
804.412;4.517
804.731;4.565
805.051;4.492
805.370;4.687
805.689;4.541
806.008;4.443
806.328;4.517
806.647;4.492
806.966;4.614
807.285;4.517
807.604;4.565
807.922;4.565
808.241;4.443
808.560;4.590
808.879;4.639
809.197;4.687
809.516;4.517
809.834;4.687
810.153;4.517
810.471;4.565
810.790;4.639
811.108;4.565
811.427;4.687
811.745;4.639
812.063;4.517
812.381;4.663
812.699;4.639
813.017;4.541
813.335;4.736
813.653;4.810
813.971;4.565
814.289;4.614
814.607;4.687
814.924;4.590
815.242;4.736
815.560;4.687
815.877;4.761
816.195;4.614
816.512;4.687
816.830;4.590
817.147;4.810
817.464;4.712
