Wavelength (nm);Absorbance Solution;Transmittance Solution
667.138;0.038;91.657
667.481;0.033;92.625
667.823;0.020;95.390
668.165;0.034;92.488
668.507;0.016;96.350
668.849;0.024;94.645
669.191;0.016;96.302
669.533;0.015;96.680
669.875;0.018;95.973
670.217;0.027;93.987
670.559;0.019;95.750
670.901;0.022;95.088
671.242;0.020;95.516
671.584;0.021;95.178
671.926;0.031;93.210
672.267;0.024;94.581
672.609;0.028;93.694
672.950;0.035;92.255
673.292;0.032;92.986
673.633;0.012;97.167
673.974;0.032;92.954
674.316;0.031;93.131
674.657;0.024;94.585
674.998;0.035;92.200
675.339;0.031;93.185
675.680;0.020;95.474
676.021;0.018;95.857
676.362;0.033;92.595
676.703;0.016;96.272
677.044;0.026;94.084
677.385;0.028;93.817
677.726;0.031;93.077
678.067;0.030;93.268
678.407;0.033;92.762
678.748;0.028;93.764
679.088;0.018;95.980
679.429;0.029;93.469
679.770;0.027;94.062
680.110;0.038;91.580
680.450;0.038;91.705
680.791;0.028;93.801
681.131;0.019;95.650
681.471;0.029;93.609
681.811;0.019;95.642
682.152;0.034;92.451
682.492;0.030;93.376
682.832;0.019;95.791
683.172;0.035;92.251
683.512;0.025;94.306
683.852;0.013;97.007
684.192;0.026;94.229
684.531;0.030;93.297
684.871;0.020;95.451
685.211;0.021;95.261
685.551;0.024;94.573
685.890;0.034;92.436
686.230;0.023;94.797
686.569;0.028;93.844
686.909;0.015;96.551
687.248;0.027;93.962
687.588;0.042;90.853
687.927;0.026;94.272
688.266;0.027;93.937
688.605;0.012;97.194
688.945;0.038;91.634
689.284;0.026;94.255
689.623;0.031;93.102
689.962;0.025;94.349
690.301;0.028;93.687
690.640;0.020;95.514
690.979;0.017;96.185
691.317;0.016;96.417
691.656;0.021;95.213
691.995;0.033;92.737
692.334;0.019;95.698
692.672;0.028;93.700
693.011;0.016;96.292
693.349;0.026;94.239
693.688;0.012;97.218
694.026;0.020;95.439
694.365;0.027;94.061
694.703;0.026;94.085
695.041;0.021;95.368
695.379;0.021;95.342
695.718;0.025;94.473
696.056;0.020;95.581
696.394;0.021;95.345
696.732;0.028;93.831
697.070;0.015;96.500
697.408;0.023;94.815
697.746;0.010;97.829
698.084;0.022;94.960
698.421;0.025;94.481
698.759;0.018;95.895
699.097;0.023;94.787
699.435;0.020;95.463
699.772;0.021;95.215
700.110;0.023;94.926
700.447;0.022;95.037
700.785;0.021;95.206
701.122;0.014;96.724
701.459;0.025;94.306
701.797;0.021;95.202
702.134;0.013;96.986
702.471;0.012;97.220
702.808;0.030;93.225
703.145;0.015;96.523
703.482;0.023;94.934
703.819;0.017;96.261
704.156;0.018;95.895
704.493;0.019;95.738
704.830;0.011;97.548
705.167;0.027;93.869
705.504;0.028;93.784
705.840;0.017;96.218
706.177;0.012;97.366
706.514;0.015;96.502
706.850;0.017;96.232
707.187;0.020;95.427
707.523;0.028;93.807
707.860;0.020;95.432
708.196;0.026;94.157
708.532;0.017;96.205
708.868;0.015;96.642
709.205;0.029;93.627
709.541;0.019;95.810
709.877;0.019;95.678
710.213;0.019;95.649
710.549;0.019;95.703
710.885;0.022;94.984
711.221;0.011;97.406
711.557;0.019;95.733
711.893;0.021;95.292
712.228;0.023;94.921
712.564;0.019;95.795
712.900;0.023;94.926
713.235;0.012;97.382
713.571;0.021;95.366
713.906;0.026;94.284
714.242;0.024;94.540
714.577;0.011;97.501
714.913;0.023;94.845
715.248;0.007;98.304
715.583;0.030;93.393
715.918;0.021;95.230
716.254;0.005;98.899
716.589;0.008;98.203
716.924;0.007;98.491
717.259;0.011;97.473
717.594;0.019;95.761
717.929;0.014;96.753
718.263;0.020;95.543
718.598;0.020;95.414
718.933;0.020;95.409
719.268;0.016;96.465
719.602;0.019;95.724
719.937;0.016;96.358
720.272;0.022;95.148
720.606;0.018;95.967
720.941;0.025;94.375
721.275;0.020;95.405
721.609;0.012;97.175
721.944;0.021;95.370
722.278;0.016;96.302
722.612;0.017;96.258
722.946;0.008;98.284
723.280;0.017;96.237
723.614;0.008;98.241
723.948;0.011;97.493
724.282;0.008;98.216
724.616;0.014;96.787
724.950;0.017;96.170
725.284;0.005;98.816
725.618;0.017;96.088
725.951;0.019;95.613
726.285;0.006;98.720
726.619;0.010;97.742
726.952;0.004;98.970
727.286;0.018;95.891
727.619;0.010;97.745
727.953;0.010;97.809
728.286;0.015;96.666
728.619;0.016;96.407
728.953;0.013;96.988
729.286;0.010;97.631
729.619;0.015;96.593
729.952;0.020;95.580
730.285;0.011;97.535
730.618;0.000;100.000
730.951;0.007;98.440
731.284;0.013;97.132
731.617;0.011;97.559
731.950;0.005;98.939
732.282;0.017;96.143
732.615;0.014;96.838
732.948;0.007;98.372
733.280;0.016;96.427
733.613;0.020;95.532
733.945;0.010;97.810
734.278;0.013;97.107
734.610;0.021;95.241
734.942;0.014;96.816
735.275;0.010;97.719
735.607;0.017;96.180
735.939;0.013;97.024
736.271;0.008;98.224
736.603;0.007;98.324
736.936;0.023;94.775
737.268;0.010;97.673
737.599;0.015;96.698
737.931;0.014;96.899
738.263;0.019;95.819
738.595;0.010;97.807
738.927;0.017;96.094
739.258;0.015;96.684
739.590;0.000;100.000
739.922;0.007;98.489
740.253;0.012;97.228
740.585;0.023;94.734
740.916;0.014;96.868
741.248;0.025;94.344
741.579;0.021;95.354
741.910;0.011;97.415
742.241;0.010;97.690
742.573;0.023;94.916
742.904;0.006;98.556
743.235;0.010;97.735
743.566;0.018;95.904
743.897;0.012;97.386
744.228;0.018;95.853
744.559;0.008;98.181
744.889;0.012;97.239
745.220;0.029;93.526
745.551;0.017;96.155
745.882;0.006;98.648
746.212;0.025;94.365
746.543;0.023;94.949
746.873;0.015;96.500
747.204;0.018;95.910
747.534;0.013;97.116
747.865;0.013;97.039
748.195;0.021;95.374
748.525;0.016;96.275
748.855;0.013;97.043
749.186;0.014;96.776
749.516;0.017;96.079
749.846;0.019;95.616
750.176;0.010;97.685
750.506;0.018;95.833
750.836;0.011;97.406
751.166;0.019;95.778
751.495;0.026;94.210
751.825;0.029;93.516
752.155;0.018;95.917
752.484;0.011;97.482
752.814;0.018;95.928
753.144;0.017;96.172
753.473;0.008;98.097
753.803;0.020;95.519
754.132;0.025;94.303
