Wavelength (nm);Intensity Source
822.481;4.150
822.799;4.175
823.118;4.224
823.436;4.272
823.754;4.199
824.072;4.077
824.390;4.053
824.709;4.077
825.027;4.175
825.345;4.248
825.662;4.248
825.980;4.272
826.298;4.199
826.616;4.346
826.934;4.419
827.251;4.346
827.569;4.272
827.886;4.224
828.204;4.150
828.521;4.150
828.839;4.175
829.156;4.175
829.473;4.199
829.790;4.224
830.108;4.224
830.425;4.175
830.742;4.102
831.059;4.175
831.376;4.150
831.693;4.102
832.009;4.102
832.326;4.102
832.643;4.126
832.960;4.199
833.276;4.321
833.593;4.346
833.909;4.321
834.226;4.272
834.542;4.224
834.859;4.150
835.175;4.126
835.491;4.077
835.807;4.077
836.123;4.126
836.440;4.150
836.756;4.102
837.072;4.053
837.388;4.102
837.703;4.175
838.019;4.224
838.335;4.199
838.651;4.175
838.966;4.297
839.282;4.321
839.598;4.419
839.913;4.468
840.229;4.321
840.544;4.297
840.859;4.272
841.175;4.248
841.490;4.321
841.805;4.297
842.120;4.224
842.435;4.175
842.750;4.175
843.065;4.175
843.380;4.150
843.695;4.150
844.010;4.175
844.325;4.150
844.639;4.150
844.954;4.126
845.269;4.126
845.583;4.224
845.898;4.272
846.212;4.321
846.526;4.346
846.841;4.272
847.155;4.321
847.469;4.321
847.783;4.321
848.097;11.865
848.412;5.762
848.726;4.590
849.039;4.297
849.353;4.199
849.667;4.175
849.981;4.126
850.295;4.053
850.608;3.979
850.922;4.004
851.236;4.028
851.549;4.102
851.863;4.150
852.176;4.224
852.489;4.248
852.803;4.175
853.116;4.102
853.429;4.053
853.742;4.053
854.055;4.053
854.368;4.004
854.681;4.102
854.994;4.102
855.307;4.077
855.620;4.150
855.933;4.126
856.246;4.053
856.558;4.077
856.871;4.126
857.183;4.175
857.496;4.175
857.808;4.199
858.121;4.224
858.433;4.224
858.745;4.199
859.058;4.199
859.370;4.297
859.682;4.297
859.994;4.272
860.306;4.272
860.618;4.224
860.930;4.150
861.242;4.150
861.553;4.126
861.865;4.102
862.177;4.102
862.488;4.150
862.800;4.028
863.112;3.931
863.423;3.955
863.734;4.004
864.046;4.004
864.357;4.126
864.668;4.346
864.980;4.321
865.291;4.248
865.602;4.248
865.913;4.199
866.224;4.102
866.535;4.102
866.846;4.126
867.156;4.126
867.467;4.248
867.778;4.395
868.089;4.272
868.399;4.199
868.710;4.199
869.020;4.224
869.331;4.199
869.641;4.199
869.951;4.199
870.262;4.297
870.572;4.468
870.882;4.395
871.192;4.199
871.502;4.126
871.812;4.077
872.122;4.077
872.432;4.150
872.742;4.150
873.052;4.102
873.361;4.199
873.671;4.395
873.981;4.370
874.290;4.272
874.600;4.150
874.909;4.102
875.219;4.077
875.528;3.979
875.837;4.004
876.147;4.077
876.456;4.053
876.765;4.004
877.074;3.979
877.383;4.028
877.692;4.102
878.001;4.175
878.310;4.199
878.619;4.150
878.927;4.199
879.236;4.224
879.545;4.224
879.853;4.199
880.162;4.199
880.470;4.126
880.779;4.102
881.087;4.102
881.395;4.077
881.704;4.053
882.012;4.053
882.320;4.004
882.628;4.004
882.936;4.126
883.244;4.224
883.552;4.663
883.860;4.639
884.168;4.370
884.475;4.297
884.783;4.272
885.091;4.297
885.398;4.297
885.706;4.224
886.013;4.272
886.321;4.346
886.628;4.346
886.936;4.346
887.243;4.297
887.550;4.199
887.857;4.272
888.164;4.395
888.471;4.443
888.778;4.321
889.085;4.199
889.392;4.199
889.699;4.224
890.006;4.248
890.312;4.248
890.619;4.224
890.926;4.175
891.232;4.175
891.539;4.175
891.845;4.126
892.152;4.102
892.458;4.126
892.764;4.175
893.070;4.224
893.377;4.199
893.683;4.272
893.989;4.272
894.295;4.175
894.601;4.102
894.907;4.077
895.213;4.102
895.518;4.102
895.824;4.077
896.130;4.102
896.435;4.150
896.741;4.297
897.046;4.492
897.352;4.443
897.657;4.321
897.963;4.224
898.268;4.175
898.573;4.150
898.878;4.102
899.183;4.077
899.488;4.028
899.793;4.053
900.098;4.077
900.403;4.053
900.708;4.077
901.013;4.102
901.318;4.150
901.622;4.150
901.927;4.224
902.232;4.297
902.536;4.297
902.841;4.248
903.145;4.346
903.449;4.346
903.754;4.199
904.058;4.102
904.362;4.053
904.666;4.077
904.970;4.102
905.274;4.150
905.578;4.224
905.882;4.126
906.186;4.102
906.490;4.126
906.793;4.102
907.097;4.053
907.401;4.150
907.704;4.272
908.008;4.272
908.311;4.297
908.615;4.321
908.918;4.272
909.221;4.199
909.525;4.175
909.828;4.199
910.131;4.199
910.434;4.175
910.737;4.150
911.040;4.150
911.343;4.224
911.646;4.224
911.949;4.150
912.251;4.150
912.554;4.297
912.857;4.297
913.159;4.150
913.462;4.102
913.764;4.028
914.067;3.979
914.369;4.028
914.671;4.077
914.973;4.175
915.276;4.272
915.578;4.321
915.880;4.297
916.182;4.224
916.484;4.736
916.786;4.785
917.087;4.443
917.389;4.297
917.691;4.199
917.993;4.248
918.294;4.248
918.596;4.199
918.897;4.272
919.199;4.346
919.500;4.248
919.802;4.175
920.103;4.150
920.404;4.199
920.705;4.199
921.006;4.150
921.307;4.126
921.608;4.297
921.909;4.297
922.210;4.224
922.511;4.297
922.812;4.346
923.113;4.346
923.413;4.297
923.714;4.224
924.015;4.150
924.315;4.102
924.615;4.102
924.916;4.150
925.216;4.150
925.516;4.126
925.817;4.126
926.117;4.150
926.417;4.175
926.717;4.175
927.017;4.126
927.317;4.126
927.617;4.150
927.917;4.175
928.216;4.224
928.516;4.199
928.816;4.321
929.115;4.346
929.415;4.248
929.715;4.297
930.014;4.370
930.313;4.346
930.613;4.346
930.912;4.248
931.211;4.199
931.510;4.199
931.809;4.175
932.108;4.175
932.407;4.199
932.706;4.175
933.005;4.199
933.304;4.321
933.603;4.346
933.902;4.224
934.200;4.224
934.499;4.248
934.797;4.224
935.096;4.224
935.394;4.224
935.693;4.224
935.991;4.224
936.289;4.199
936.587;4.150
936.885;4.248
937.184;4.272
937.482;4.175
