Wavelength (nm);Intensity Source
861.242;4.028
861.553;4.004
861.865;3.979
862.177;4.004
862.488;3.979
862.800;4.004
863.112;4.053
863.423;4.077
863.734;4.126
864.046;4.126
864.357;4.175
864.668;4.224
864.980;4.126
865.291;4.077
865.602;4.150
865.913;4.175
866.224;4.199
866.535;4.126
866.846;4.102
867.156;4.126
867.467;4.224
867.778;4.248
868.089;4.175
868.399;4.150
868.710;4.199
869.020;4.175
869.331;4.077
869.641;4.028
869.951;4.028
870.262;4.102
870.572;4.150
870.882;4.053
871.192;3.979
871.502;3.955
871.812;4.028
872.122;4.028
872.432;4.053
872.742;4.077
873.052;4.028
873.361;4.028
873.671;4.150
873.981;4.248
874.290;4.224
874.600;4.224
874.909;4.175
875.219;4.102
875.528;4.077
875.837;4.126
876.147;4.126
876.456;4.126
876.765;4.077
877.074;4.028
877.383;4.028
877.692;4.004
878.001;4.028
878.310;4.053
878.619;4.053
878.927;4.053
879.236;4.053
879.545;4.077
879.853;4.126
880.162;4.102
880.470;4.053
880.779;4.028
881.087;3.979
881.395;3.979
881.704;3.931
882.012;3.906
882.320;3.979
882.628;4.028
882.936;4.028
883.244;4.028
883.552;4.224
883.860;4.272
884.168;4.126
884.475;4.102
884.783;4.077
885.091;4.028
885.398;4.028
885.706;4.053
886.013;4.077
886.321;4.102
886.628;4.053
886.936;3.955
887.243;3.931
887.550;3.955
887.857;3.955
888.164;3.979
888.471;4.126
888.778;4.150
889.085;4.077
889.392;4.053
889.699;4.053
890.006;4.175
890.312;4.272
890.619;4.224
890.926;4.150
891.232;4.077
891.539;4.077
891.845;4.126
892.152;4.028
892.458;3.979
892.764;4.004
893.070;4.028
893.377;4.004
893.683;4.028
893.989;4.028
894.295;4.053
894.601;4.053
894.907;4.053
895.213;4.028
895.518;4.004
895.824;4.028
896.130;4.077
896.435;4.150
896.741;4.150
897.046;4.199
897.352;4.150
897.657;4.077
897.963;4.004
898.268;4.004
898.573;4.077
898.878;4.077
899.183;4.077
899.488;4.028
899.793;4.004
900.098;4.028
900.403;4.004
900.708;4.077
901.013;4.126
901.318;4.126
901.622;4.126
901.927;4.102
902.232;4.028
902.536;4.028
902.841;4.053
903.145;4.077
903.449;4.053
903.754;4.053
904.058;4.053
904.362;4.053
904.666;4.077
904.970;4.102
905.274;4.150
905.578;4.175
905.882;4.126
906.186;4.150
906.490;4.126
906.793;4.102
907.097;4.102
907.401;4.102
907.704;4.150
908.008;4.175
908.311;4.150
908.615;4.150
908.918;4.077
909.221;4.004
909.525;4.175
909.828;4.346
910.131;4.248
910.434;4.199
