# lambda/AA  F/Fc
6599.0687 0.947623
6599.0671 0.949219
6599.0654 0.950987
6599.0638 0.952915
6599.0622 0.954903
6599.0605 0.956686
6599.0589 0.958258
6599.0572 0.959875
6599.0556 0.961552
6599.0540 0.963137
6599.0523 0.964624
6599.0507 0.966093
6599.0490 0.967684
6599.0474 0.969460
6599.0458 0.971161
6599.0441 0.972515
6599.0425 0.973577
6599.0408 0.974513
6599.0392 0.975498
6599.0376 0.976722
6599.0359 0.978139
6599.0343 0.979476
6599.0326 0.980543
6599.0310 0.981333
6599.0294 0.982018
6599.0277 0.982791
6599.0261 0.983547
6599.0244 0.984108
6599.0228 0.984677
6599.0211 0.985473
6599.0195 0.986344
6599.0179 0.987124
6599.0162 0.987845
6599.0146 0.988512
6599.0129 0.989060
6599.0113 0.989410
6599.0097 0.989609
6599.0080 0.990034
6599.0064 0.990879
6599.0047 0.991620
6599.0031 0.991822
6599.0015 0.991863
6598.9998 0.992142
6598.9982 0.992487
6598.9965 0.992706
6598.9949 0.992858
6598.9933 0.993027
6598.9916 0.993261
6598.9900 0.993553
6598.9883 0.993854
6598.9867 0.994152
6598.9851 0.994422
6598.9834 0.994695
6598.9818 0.995006
6598.9801 0.995095
6598.9785 0.994818
6598.9769 0.994654
6598.9752 0.994929
6598.9736 0.995243
6598.9719 0.995345
6598.9703 0.995456
6598.9686 0.995569
6598.9670 0.995482
6598.9654 0.995269
6598.9637 0.995138
6598.9621 0.995166
6598.9604 0.995290
6598.9588 0.995372
6598.9572 0.995304
6598.9555 0.995130
6598.9539 0.995072
6598.9522 0.995294
6598.9506 0.995578
6598.9490 0.995618
6598.9473 0.995514
6598.9457 0.995504
6598.9440 0.995594
6598.9424 0.995659
6598.9408 0.995535
6598.9391 0.995265
6598.9375 0.995246
6598.9358 0.995545
6598.9342 0.995678
6598.9326 0.995511
6598.9309 0.995359
6598.9293 0.995286
6598.9276 0.995233
6598.9260 0.995225
6598.9244 0.995167
6598.9227 0.995096
6598.9211 0.995265
6598.9194 0.995548
6598.9178 0.995522
6598.9161 0.995193
6598.9145 0.994991
6598.9129 0.995106
6598.9112 0.995290
6598.9096 0.995345
6598.9079 0.995400
6598.9063 0.995482
6598.9047 0.995402
6598.9030 0.995249
6598.9014 0.995236
6598.8997 0.995259
6598.8981 0.995219
6598.8965 0.995245
6598.8948 0.995307
6598.8932 0.995262
6598.8915 0.995187
6598.8899 0.995236
6598.8883 0.995372
6598.8866 0.995403
6598.8850 0.995256
6598.8833 0.995131
6598.8817 0.995223
6598.8801 0.995422
6598.8784 0.995516
6598.8768 0.995425
6598.8751 0.995235
6598.8735 0.995206
6598.8719 0.995487
6598.8702 0.995841
6598.8686 0.996000
6598.8669 0.996015
6598.8653 0.996027
6598.8636 0.996023
6598.8620 0.995933
6598.8604 0.995786
6598.8587 0.995735
6598.8571 0.995860
6598.8554 0.996031
6598.8538 0.996091
6598.8522 0.996026
6598.8505 0.995911
6598.8489 0.995864
6598.8472 0.995959
6598.8456 0.996123
6598.8440 0.996243
6598.8423 0.996276
6598.8407 0.996206
6598.8390 0.996096
6598.8374 0.996152
6598.8358 0.996394
6598.8341 0.996505
6598.8325 0.996384
6598.8308 0.996375
6598.8292 0.996532
6598.8276 0.996464
6598.8259 0.996208
6598.8243 0.996258
6598.8226 0.996599
6598.8210 0.996796
6598.8194 0.996801
6598.8177 0.996848
6598.8161 0.996972
6598.8144 0.997045
6598.8128 0.996947
6598.8111 0.996670
6598.8095 0.996397
6598.8079 0.996267
6598.8062 0.996184
6598.8046 0.996058
6598.8029 0.996018
6598.8013 0.996198
6598.7997 0.996437
6598.7980 0.996466
6598.7964 0.996340
6598.7947 0.996280
6598.7931 0.996240
6598.7915 0.996119
6598.7898 0.996051
6598.7882 0.996020
6598.7865 0.995773
6598.7849 0.995363
6598.7833 0.995152
6598.7816 0.995212
6598.7800 0.995279
6598.7783 0.995223
6598.7767 0.995147
6598.7751 0.995047
6598.7734 0.994781
6598.7718 0.994376
6598.7701 0.994062
6598.7685 0.993968
6598.7669 0.993948
6598.7652 0.993727
6598.7636 0.993210
6598.7619 0.992585
6598.7603 0.992053
