Wavelength (nm);Absorbance Solution;Transmittance Solution
554.813;0.210;61.708
555.171;0.238;57.798
555.528;0.233;58.491
555.885;0.232;58.583
556.242;0.238;57.832
556.600;0.209;61.797
556.957;0.230;58.901
557.314;0.214;61.111
557.671;0.238;57.808
558.028;0.219;60.397
558.385;0.215;60.989
558.742;0.234;58.373
559.099;0.202;62.875
559.456;0.226;59.400
559.812;0.183;65.681
560.169;0.215;61.007
560.526;0.201;62.935
560.883;0.185;65.385
561.239;0.214;61.127
561.596;0.205;62.431
561.952;0.215;61.013
562.309;0.190;64.500
562.665;0.224;59.712
563.021;0.191;64.446
563.378;0.192;64.234
563.734;0.218;60.546
564.090;0.195;63.761
564.447;0.215;60.962
564.803;0.218;60.495
565.159;0.182;65.814
565.515;0.208;61.885
565.871;0.211;61.542
566.227;0.196;63.706
566.583;0.199;63.271
566.939;0.200;63.115
567.294;0.202;62.854
567.650;0.194;63.956
568.006;0.180;66.144
568.362;0.215;60.990
568.717;0.235;58.237
569.073;0.220;60.233
569.428;0.192;64.283
569.784;0.200;63.108
570.139;0.214;61.160
570.495;0.201;63.003
570.850;0.194;63.985
571.205;0.201;62.896
571.561;0.224;59.703
571.916;0.213;61.276
572.271;0.196;63.625
572.626;0.204;62.523
572.981;0.225;59.537
573.336;0.231;58.752
573.691;0.215;61.017
574.046;0.221;60.059
574.401;0.190;64.639
574.756;0.235;58.257
575.111;0.222;60.016
575.466;0.236;58.141
575.820;0.219;60.443
576.175;0.242;57.285
576.530;0.239;57.655
576.884;0.227;59.332
577.239;0.231;58.715
577.593;0.237;57.991
577.948;0.250;56.194
578.302;0.209;61.871
578.656;0.237;57.916
579.011;0.231;58.745
579.365;0.249;56.405
579.719;0.242;57.307
580.073;0.235;58.244
580.428;0.246;56.788
580.782;0.265;54.284
581.136;0.222;59.929
581.490;0.234;58.312
581.844;0.254;55.781
582.197;0.241;57.461
582.551;0.254;55.682
582.905;0.256;55.445
583.259;0.253;55.805
583.613;0.253;55.904
583.966;0.206;62.173
584.320;0.229;58.989
584.673;0.243;57.119
585.027;0.219;60.337
585.380;0.239;57.626
585.734;0.223;59.818
586.087;0.221;60.119
586.440;0.268;53.904
586.794;0.264;54.440
587.147;0.239;57.619
587.500;0.246;56.757
587.853;0.231;58.692
588.206;0.272;53.433
588.559;0.270;53.750
588.913;0.270;53.652
589.265;0.257;55.372
589.618;0.250;56.289
589.971;0.262;54.748
590.324;0.239;57.623
590.677;0.231;58.752
591.030;0.246;56.788
591.382;0.195;63.844
591.735;0.246;56.795
592.087;0.253;55.881
592.440;0.199;63.281
592.792;0.240;57.509
593.145;0.238;57.770
593.497;0.240;57.541
593.850;0.226;59.477
594.202;0.275;53.081
594.554;0.234;58.384
594.906;0.204;62.522
595.259;0.248;56.533
595.611;0.247;56.656
595.963;0.221;60.049
596.315;0.233;58.495
596.667;0.192;64.291
597.019;0.231;58.784
597.371;0.195;63.842
597.723;0.213;61.218
598.074;0.199;63.178
598.426;0.218;60.571
598.778;0.205;62.377
599.129;0.215;60.940
599.481;0.219;60.334
599.833;0.177;66.535
600.184;0.189;64.738
600.536;0.180;66.018
600.887;0.184;65.458
601.238;0.195;63.805
601.590;0.207;62.019
601.941;0.181;65.927
602.292;0.187;65.081
602.643;0.158;69.445
602.994;0.196;63.628
603.346;0.174;67.060
603.697;0.194;63.961
604.048;0.186;65.092
604.399;0.168;67.854
604.749;0.184;65.519
605.100;0.207;62.131
605.451;0.140;72.484
605.802;0.172;67.269
606.153;0.154;70.145
606.503;0.176;66.713
606.854;0.156;69.749
607.204;0.182;65.771
607.555;0.168;67.969
607.905;0.143;71.942
608.256;0.159;69.294
608.606;0.144;71.715
608.957;0.145;71.636
609.307;0.136;73.066
609.657;0.118;76.165
610.007;0.151;70.671
610.358;0.136;73.189
610.708;0.137;73.017
611.058;0.107;78.204
611.408;0.124;75.245
611.758;0.140;72.367
612.108;0.134;73.435
612.457;0.129;74.248
612.807;0.127;74.714
613.157;0.139;72.643
613.507;0.132;73.816
613.856;0.121;75.612
614.206;0.140;72.442
614.556;0.122;75.577
614.905;0.127;74.590
615.255;0.123;75.314
615.604;0.082;82.875
615.954;0.138;72.728
616.303;0.125;74.941
616.652;0.100;79.448
617.001;0.130;74.200
617.351;0.106;78.328
617.700;0.123;75.253
618.049;0.127;74.602
618.398;0.116;76.647
618.747;0.125;75.047
619.096;0.102;79.058
619.445;0.109;77.811
619.794;0.126;74.862
620.143;0.127;74.592
620.491;0.115;76.800
620.840;0.109;77.850
621.189;0.108;77.957
621.537;0.120;75.811
621.886;0.109;77.731
622.235;0.105;78.528
622.583;0.117;76.409
622.932;0.097;79.895
623.280;0.105;78.611
623.628;0.111;77.388
623.977;0.114;76.910
624.325;0.106;78.350
624.673;0.084;82.500
625.021;0.117;76.402
625.369;0.106;78.266
625.717;0.107;78.168
626.065;0.124;75.179
626.413;0.094;80.477
626.761;0.095;80.276
627.109;0.099;79.681
627.457;0.120;75.811
627.805;0.101;79.226
628.153;0.102;78.992
628.500;0.103;78.828
628.848;0.115;76.663
629.196;0.097;80.026
629.543;0.100;79.429
629.891;0.113;77.139
630.238;0.100;79.522
630.585;0.077;83.789
630.933;0.097;80.001
631.280;0.079;83.331
631.627;0.112;77.229
631.975;0.094;80.607
632.322;0.101;79.213
632.669;0.125;74.961
633.016;0.106;78.331
633.363;0.106;78.412
633.710;0.107;78.145
634.057;0.106;78.285
634.404;0.105;78.598
634.751;0.111;77.424
635.097;0.094;80.563
635.444;0.100;79.420
635.791;0.098;79.719
636.137;0.112;77.336
636.484;0.113;77.174
636.831;0.103;78.864
637.177;0.089;81.417
637.524;0.090;81.335
637.870;0.099;79.684
638.216;0.120;75.894
638.563;0.113;77.133
638.909;0.091;81.020
639.255;0.099;79.590
639.601;0.089;81.462
639.947;0.119;76.020
640.293;0.092;80.900
640.639;0.119;75.956
640.985;0.081;83.054
641.331;0.097;79.947
641.677;0.101;79.284
642.023;0.103;78.809
642.369;0.097;80.057
642.715;0.106;78.331
643.060;0.094;80.492
643.406;0.108;78.026
643.751;0.093;80.731
644.097;0.104;78.795
644.442;0.102;79.021
644.788;0.110;77.538
645.133;0.091;81.188
645.479;0.100;79.487
645.824;0.107;78.117
646.169;0.101;79.220
646.514;0.092;80.947
646.860;0.083;82.697
647.205;0.088;81.660
647.550;0.113;77.015
647.895;0.105;78.442
648.240;0.102;79.099
648.585;0.085;82.305
648.930;0.100;79.462
649.274;0.118;76.212
649.619;0.096;80.241
649.964;0.093;80.719
650.309;0.116;76.564
650.653;0.089;81.542
650.998;0.105;78.522
651.342;0.102;79.094
651.687;0.110;77.552
652.031;0.088;81.649
652.376;0.101;79.300
652.720;0.094;80.447
653.064;0.096;80.123
653.408;0.090;81.260
653.753;0.084;82.363
654.097;0.111;77.400
654.441;0.090;81.338
654.785;0.094;80.525
655.129;0.096;80.258
655.473;0.102;79.123
655.817;0.102;79.146
656.161;0.084;82.414
656.504;0.073;84.609
656.848;0.091;81.050
657.192;0.074;84.351
657.536;0.091;81.152
657.879;0.101;79.301
658.223;0.109;77.731
658.566;0.061;86.925
658.910;0.094;80.606
659.253;0.098;79.800
659.597;0.093;80.799
659.940;0.081;82.989
660.283;0.105;78.476
660.626;0.094;80.492
660.970;0.086;82.087
661.313;0.097;80.059
661.656;0.093;80.727
661.999;0.080;83.114
662.342;0.090;81.236
662.685;0.095;80.359
663.028;0.079;83.418
663.370;0.101;79.271
663.713;0.088;81.700
664.056;0.091;81.145
664.399;0.091;81.051
664.741;0.091;81.178
665.084;0.085;82.147
665.426;0.080;83.110
665.769;0.094;80.590
666.111;0.087;81.777
666.454;0.102;79.013
666.796;0.087;81.817
667.138;0.090;81.375
667.481;0.098;79.806
667.823;0.089;81.511
668.165;0.090;81.243
668.507;0.091;81.162
668.849;0.079;83.308
669.191;0.078;83.655
669.533;0.078;83.488
669.875;0.084;82.407
670.217;0.088;81.708
670.559;0.086;82.116
670.901;0.071;84.977
671.242;0.085;82.192
671.584;0.098;79.732
671.926;0.093;80.697
672.267;0.090;81.293
672.609;0.090;81.340
672.950;0.092;80.854
