V(V): 0.0002	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0183K
4.704300E+1	-5.180000E-1	3.272000E-13
4.714000E+1	-5.170000E-1	4.222000E-13
4.723700E+1	-5.160000E-1	6.122000E-13
4.733300E+1	-5.150000E-1	2.850000E-13
4.743100E+1	-5.140000E-1	2.375000E-13
4.752900E+1	-5.130000E-1	2.533500E-13
4.762500E+1	-5.120000E-1	2.216500E-13
4.772400E+1	-5.110000E-1	1.266500E-13
4.782100E+1	-5.100000E-1	4.222000E-13
4.791700E+1	-5.090000E-1	5.699999E-13
4.801400E+1	-5.080000E-1	2.639000E-13
4.811100E+1	-5.070000E-1	3.219500E-13
4.820900E+1	-5.060000E-1	1.583500E-13
4.830600E+1	-5.050000E-1	8.445000E-14
4.840200E+1	-5.039999E-1	2.797000E-13
4.850000E+1	-5.030000E-1	3.008500E-13
4.859700E+1	-5.020000E-1	1.003000E-13
4.869500E+1	-5.010000E-1	2.480500E-13
4.879400E+1	-5.000000E-1	7.653000E-13
4.889000E+1	-4.990000E-1	3.641500E-13
4.898700E+1	-4.980000E-1	3.536000E-13
4.908500E+1	-4.970000E-1	4.644500E-13
4.918300E+1	-4.960000E-1	5.330499E-13
4.928100E+1	-4.950000E-1	1.910550E-12
4.937900E+1	-4.940000E-1	1.031275E-11
4.947500E+1	-4.930000E-1	2.851575E-11
4.957300E+1	-4.920000E-1	5.186985E-11
4.967300E+1	-4.910000E-1	6.195040E-11
4.977000E+1	-4.900000E-1	6.389790E-11
4.986600E+1	-4.890000E-1	6.381345E-11
4.996200E+1	-4.880000E-1	6.396650E-11
5.006100E+1	-4.870000E-1	6.392955E-11
5.015800E+1	-4.860000E-1	6.358125E-11
5.025600E+1	-4.850000E-1	6.092650E-11
5.035300E+1	-4.840000E-1	4.891430E-11
5.045000E+1	-4.830000E-1	2.700630E-11
5.054900E+1	-4.820000E-1	8.043300E-12
5.064700E+1	-4.810000E-1	1.483050E-12
5.074400E+1	-4.800000E-1	6.333500E-13
5.084100E+1	-4.790000E-1	5.911000E-13
5.094000E+1	-4.780000E-1	4.220000E-14
5.103800E+1	-4.770000E-1	1.161000E-13
5.113600E+1	-4.760000E-1	-1.319500E-13
5.123500E+1	-4.750000E-1	9.500000E-14
5.133500E+1	-4.740000E-1	2.691500E-13
5.143100E+1	-4.730000E-1	3.536000E-13
